permalink	name	homepage_url	category_list	status	country_code	state_code	region	city	founded_at
/Organization/-Fame	#fame	http://livfame.com	Media	operating	IND	16	Mumbai	Mumbai	
/Organization/-Qounter	:Qounter	http://www.qounter.com	Application Platforms|Real Time|Social Network Media	operating	USA	DE	DE - Other	Delaware City	04-09-2014
/Organization/-The-One-Of-Them-Inc-	"(THE) ONE of THEM,Inc."	http://oneofthem.jp	Apps|Games|Mobile	operating					
/Organization/0-6-Com	0-6.com	http://www.0-6.com	Curated Web	operating	CHN	22	Beijing	Beijing	01-01-2007
/Organization/004-Technologies	004 Technologies	http://004gmbh.de/en/004-interact	Software	operating	USA	IL	"Springfield, Illinois"	Champaign	01-01-2010
/Organization/01Games-Technology	01Games Technology	http://www.01games.hk/	Games	operating	HKG		Hong Kong	Hong Kong	
/Organization/0Ndine-Biomedical-Inc	Ondine Biomedical Inc.	http://ondinebio.com	Biotechnology	operating	CAN	BC	Vancouver	Vancouver	01-01-1997
/Organization/0Xdata	H2O.ai	http://h2o.ai/	Analytics	operating	USA	CA	SF Bay Area	Mountain View	01-01-2011
/Organization/1	One Inc.	http://whatis1.com	Mobile	operating	USA	CA	SF Bay Area	San Francisco	01-08-2011
/Organization/1-2-3-Listo	"1,2,3 Listo"	http://www.123listo.com	E-Commerce	operating	CHL	12	Santiago	Las Condes	01-01-2012
/Organization/1-4-All	1-4 All		Entertainment|Games|Software	operating	USA	NC	NC - Other	Connellys Springs	
/Organization/1-618-Technology	1.618 Technology	http://www.Homeandcondogallery.com	Networking|Real Estate|Web Hosting	operating	USA	FL	Orlando	Orlando	07-12-2013
/Organization/1-800-Dentist	1-800-DENTIST	http://www.1800dentist.com	Health and Wellness	operating	USA	CA	Los Angeles	Los Angeles	01-01-1986
/Organization/1-800-Doctors	1-800-DOCTORS	http://1800doctors.com	Health and Wellness	operating	USA	NJ	Newark	Iselin	01-01-1984
/Organization/1-800-Publicrelations-Inc-	"1-800-PublicRelations, Inc."	http://www.1800publicrelations.com	Internet Marketing|Media|Public Relations	operating	USA	NY	New York City	New York	24-10-2013
/Organization/1-Mainstream	1 Mainstream	http://www.1mainstream.com	Apps|Cable|Distribution|Software	acquired	USA	CA	SF Bay Area	Cupertino	01-03-2012
/Organization/1-Of-99	1 of 99		Entertainment|Games	operating	USA	CA	SF Bay Area	Mountain View	01-12-2014
/Organization/10-20-Media	10-20 Media	http://www.10-20media.com	E-Commerce	operating	USA	MD	Baltimore	Woodbine	01-01-2001
/Organization/10-Minutes-With	10 Minutes With	http://10minuteswith.com	Education	operating	GBR	H9	London	London	01-01-2013
/Organization/1000-Corks	1000 Corks	http://1000corks.com	Search	operating	USA	OR	"Portland, Oregon"	Lake Oswego	01-01-2008
/Organization/1000-Markets	1000 Markets	http://www.1000markets.com	Art|E-Commerce|Marketplaces	acquired	USA	WA	Seattle	Seattle	01-01-2009
/Organization/1000Chi	Beijing 1000CHI Software Technology	http://www.1000chi.com/	Mobile	operating					01-01-2008
/Organization/1000Lookz	1000Lookz	http://1000lookz.com	Beauty	operating	IND	25	Chennai	Chennai	01-01-2008
/Organization/1000Memories	1000memories	http://1000memories.com	Curated Web	acquired	USA	CA	SF Bay Area	San Francisco	01-07-2010
/Organization/1000Museums-Com	1000museums.com	http://www.1000museums.com	Curated Web	operating	USA	MA	MA - Other	Lenox	01-01-2008
/Organization/1001-Menus	ZenChef	http://zenchef.com/en/	Local Businesses|Restaurants	operating	FRA	A8	Paris	Paris	20-11-2010
/Organization/1001Pharmacies-Com	1001pharmacies.com	http://www.1001pharmacies.com/	Cosmetics|Marketplaces	operating	FRA	A9	Montpellier	Montpellier	01-01-2012
/Organization/1006-Tv	1006.tv	http://www.1006.tv/	Games|Media	operating	CHN	22	Beijing	Beijing	01-01-2009
/Organization/100Du-Tv	100du.tv	http://www.100du.com	Hospitality	operating	CHN	23	Shanghai	Shanghai	
/Organization/100E-Com	100e.com	http://www.100e.com	Education	operating	CHN	22	Beijing	Beijing	
/Organization/100Health	Redox	http://www.redoxengine.com	Health Care|Health Care Information Technology|Hospitals	operating	USA	WI	Madison	Madison	04-07-2014
/Organization/100Plus	100Plus	http://www.100plus.com	Analytics	acquired	USA	CA	SF Bay Area	San Francisco	16-09-2011
/Organization/1010Data	1010data	http://www.1010data.com	Software	acquired	USA	NY	New York City	New York	01-01-2000
/Organization/10Alike	Cliptone	http://www.cliptone.me/	Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising	operating	CAN	ON	Toronto	Toronto	03-03-2012
/Organization/10Bestthings	10BestThings	http://10bestthings.com	Curated Web	closed	USA	OH	Cleveland	Cleveland	01-04-2009
/Organization/10K-2	Beans Around	http://beansaround.com/	Coffee|Delivery|Subscription Service	operating					01-04-2015
/Organization/10Sec	10sec	https://10s.ec/	E-Commerce|Mobile Commerce|Social Commerce	operating	USA	CA	SF Bay Area	San Francisco	08-07-2013
/Organization/10Seconds-Software	10seconds Software	http://www.10secondsSoftware.com	Enterprise Software|Mobility|Software	operating	AUS	2	Sydney	Sydney	01-07-2009
/Organization/10Six	10Six	http://10sixenergy.com	Batteries|Electronics|Energy	operating	USA	NY	New York City	New York	
/Organization/10Tracks-2	10tracks	http://10tracks.com	iOS|Mobile|Music	operating					01-01-2012
